"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","gene_names"
"1009.1",1.01993397994202e-37,0.529030251756297,1,1,5.09966989971011e-34,"NMF_2","1009","CDH11"
"1301.1",1.45360980464649e-37,0.787617703247328,1,1,7.26804902323245e-34,"NMF_2","1301","COL11A1"
"3624",4.12816266509155e-37,0.474555875352658,1,1,2.06408133254577e-33,"NMF_2","3624","INHBA"
"131578",5.2181602444384e-37,0.475706575585118,1,0.996,2.6090801222192e-33,"NMF_2","131578","LRRC15"
"1513.1",5.29508143956536e-37,0.621691159059827,1,1,2.64754071978268e-33,"NMF_2","1513","CTSK"
"81035",5.69692267733463e-37,0.304946131151787,1,1,2.84846133866731e-33,"NMF_2","81035","COLEC12"
"5176.1",7.41117285884273e-37,0.592491179053635,1,1,3.70558642942136e-33,"NMF_2","5176","SERPINF1"
"23452",9.77871677571271e-37,0.353418386223313,1,1,4.88935838785635e-33,"NMF_2","23452","ANGPTL2"
"84168.1",9.92230994522748e-37,0.543348749535529,1,1,4.96115497261374e-33,"NMF_2","84168","ANTXR1"
"3678",1.77576730811133e-36,0.423646268326269,1,1,8.87883654055667e-33,"NMF_2","3678","ITGA5"
"284297",4.61832431124326e-36,0.316458440798929,1,1,2.30916215562163e-32,"NMF_2","284297","SSC5D"
"25903",6.43518938328258e-36,0.423161857618006,1,1,3.21759469164129e-32,"NMF_2","25903","OLFML2B"
"4323.1",8.33889648639107e-36,0.54859044230518,1,1,4.16944824319554e-32,"NMF_2","4323","MMP14"
"1307",1.06471908959667e-35,0.404928655882358,1,1,5.32359544798336e-32,"NMF_2","1307","COL16A1"
"5159.1",1.26488044778754e-35,0.477116555052384,1,1,6.32440223893771e-32,"NMF_2","5159","PDGFRB"
"90993",1.61397672266446e-35,0.374365704631198,1,1,8.06988361332231e-32,"NMF_2","90993","CREB3L1"
"115908.1",1.94414866136061e-35,0.533006101417963,1,1,9.72074330680303e-32,"NMF_2","115908","CTHRC1"
"10631.1",2.00058365286919e-35,0.824220252034398,1,1,1.0002918264346e-31,"NMF_2","10631","POSTN"
"7057",2.17984134562172e-35,0.576448024815878,1,1,1.08992067281086e-31,"NMF_2","7057","THBS1"
"55083",4.44837779163209e-35,0.377198464201075,1,1,2.22418889581605e-31,"NMF_2","55083","KIF26B"
"59.1",5.42857635836892e-35,0.600117630254013,1,1,2.71428817918446e-31,"NMF_2","59","ACTA2"
"84627",5.7461293824651e-35,0.402117800208967,1,1,2.87306469123255e-31,"NMF_2","84627","ZNF469"
"11117.1",1.23537244155578e-34,0.494733064865824,1,1,6.17686220777891e-31,"NMF_2","11117","EMILIN1"
"1291.1",1.36385768199021e-34,0.606172125137438,1,1,6.81928840995107e-31,"NMF_2","1291","COL6A1"
"7078.1",5.11832077244356e-34,0.691820116329053,1,1,2.55916038622178e-30,"NMF_2","7078","TIMP3"
"127435",6.22648623505234e-34,0.298037031772059,1,1,3.11324311752617e-30,"NMF_2","127435","PODN"
"5376",9.46804934864963e-34,0.268384407053993,1,1,4.73402467432482e-30,"NMF_2","5376","PMP22"
"151887.1",1.3792450603689e-33,0.596211013253247,1,1,6.89622530184451e-30,"NMF_2","151887","CCDC80"
"11259",2.61243467151487e-33,0.332849425696944,1,1,1.30621733575743e-29,"NMF_2","11259","FILIP1L"
"27295",3.00049186632033e-33,0.35622810782178,1,1,1.50024593316017e-29,"NMF_2","27295","PDLIM3"
"1300",4.35820024557245e-33,0.514495360430238,1,0.996,2.17910012278622e-29,"NMF_2","1300","COL10A1"
"10630",5.14311180340751e-33,0.318246436842318,1,1,2.57155590170375e-29,"NMF_2","10630","PDPN"
"6423.1",6.96411241772113e-33,0.817098487283136,1,0.996,3.48205620886057e-29,"NMF_2","6423","SFRP2"
"10417",7.15845780437408e-33,0.309624708943228,1,1,3.57922890218704e-29,"NMF_2","10417","SPON2"
"57333",9.42393200154686e-33,0.361587164347183,1,1,4.71196600077343e-29,"NMF_2","57333","RCN3"
"25907",9.68636840144144e-33,0.298559026558792,1,1,4.84318420072072e-29,"NMF_2","25907","TMEM158"
"50509",1.15782614814382e-32,0.342163192442826,1,1,5.78913074071908e-29,"NMF_2","50509","COL5A3"
"9891",1.58669578998292e-32,0.253724392410369,1,1,7.93347894991461e-29,"NMF_2","9891","NUAK1"
"84624",1.60855866387265e-32,0.486726746461067,1,1,8.04279331936325e-29,"NMF_2","84624","FNDC1"
"7045",2.55959215104088e-32,0.544380718538269,1,1,1.27979607552044e-28,"NMF_2","7045","TGFBI"
"57124",2.89375397062513e-32,0.291879293867397,1,1,1.44687698531256e-28,"NMF_2","57124","CD248"
"4320.1",3.3614968601758e-32,0.884677372287268,1,1,1.6807484300879e-28,"NMF_2","4320","MMP11"
"4016",3.549588298465e-32,0.367921836713486,1,1,1.7747941492325e-28,"NMF_2","4016","LOXL1"
"5328",5.48295671116999e-32,0.46967175244783,1,1,2.74147835558499e-28,"NMF_2","5328","PLAU"
"5118.1",6.19470973713497e-32,0.398628039265178,1,1,3.09735486856749e-28,"NMF_2","5118","PCOLCE"
"2706",6.71943834914104e-32,0.384661283732523,1,1,3.35971917457052e-28,"NMF_2","2706","GJB2"
"6424.1",9.29774612138887e-32,0.617146427770114,1,1,4.64887306069444e-28,"NMF_2","6424","SFRP4"
"4681",9.68245298650688e-32,0.445530912212988,1,1,4.84122649325344e-28,"NMF_2","4681","NBL1"
"7412",3.29359677888041e-31,0.310218232322077,1,1,1.6467983894402e-27,"NMF_2","7412","VCAM1"
"284119",2.87302197081995e-30,0.415145118906873,1,1,1.43651098540997e-26,"NMF_2","284119","CAVIN1"
"72",3.36509808524195e-30,0.344070692595708,1,1,1.68254904262098e-26,"NMF_2","72","ACTG2"
"5054.1",4.73673952997129e-30,0.587857934713369,1,1,2.36836976498565e-26,"NMF_2","5054","SERPINE1"
"3910",6.15795547276503e-30,0.268842842131267,1,1,3.07897773638252e-26,"NMF_2","3910","LAMA4"
"91179",1.39593362940256e-28,0.270542691171677,1,1,6.97966814701279e-25,"NMF_2","91179","SCARF2"
"56937",2.7103323388911e-28,0.407860340844166,1,1,1.35516616944555e-24,"NMF_2","56937","PMEPA1"
"1833",5.23930484482553e-28,0.32304837686246,1,0.968,2.61965242241277e-24,"NMF_2","1833","EPYC"
"1303",7.37701494686481e-28,0.527997830227686,1,1,3.68850747343241e-24,"NMF_2","1303","COL12A1"
"1265",8.16057125629103e-28,0.371216184342769,1,1,4.08028562814551e-24,"NMF_2","1265","CNN2"
"6387.1",1.94240959177991e-27,0.493493487689827,1,1,9.71204795889953e-24,"NMF_2","6387","CXCL12"
"5740",2.97121382749703e-27,0.466357483378926,1,1,1.48560691374852e-23,"NMF_2","5740","PTGIS"
"9902",4.10821622223764e-27,0.391320377073762,1,1,2.05410811111882e-23,"NMF_2","9902","MRC2"
"5156",4.82914203560483e-27,0.263634404486024,1,1,2.41457101780241e-23,"NMF_2","5156","PDGFRA"
"25960",5.13867334809079e-27,0.268603154233269,1,1,2.5693366740454e-23,"NMF_2","25960","ADGRA2"
"4811",6.19026859221014e-27,0.297697945686659,1,1,3.09513429610507e-23,"NMF_2","4811","NID1"
"114897",6.42489388107416e-27,0.291838696221993,1,1,3.21244694053708e-23,"NMF_2","114897","C1QTNF1"
"9547.1",1.10724619971549e-26,0.414057958335847,1,1,5.53623099857743e-23,"NMF_2","9547","CXCL14"
"3912",1.12099516562713e-26,0.295875721344692,1,1,5.60497582813563e-23,"NMF_2","3912","LAMB1"
"4907",3.68806419178069e-26,0.269198998829082,1,1,1.84403209589034e-22,"NMF_2","4907","NT5E"
"57493",5.79003043915284e-26,0.366761693399203,1,1,2.89501521957642e-22,"NMF_2","57493","HEG1"
"6876",6.30453166000653e-26,0.466949517979048,1,1,3.15226583000326e-22,"NMF_2","6876","TAGLN"
"11167.1",8.23513277530466e-26,0.385366483533074,1,1,4.11756638765233e-22,"NMF_2","11167","FSTL1"
"5654",1.7215863461955e-25,0.393087820792761,1,1,8.60793173097749e-22,"NMF_2","5654","HTRA1"
"94031",2.92167751723746e-25,0.272653524383931,1,1,1.46083875861873e-21,"NMF_2","94031","HTRA3"
"9645",3.21572777705512e-25,0.316564989212936,1,1,1.60786388852756e-21,"NMF_2","9645","MICAL2"
"25878",5.84461046246822e-25,0.446962912974013,1,1,2.92230523123411e-21,"NMF_2","25878","MXRA5"
"4035.1",5.98556716865053e-25,0.397910870167256,1,1,2.99278358432527e-21,"NMF_2","4035","LRP1"
"30846",7.7768478584694e-25,0.340522364651774,1,1,3.8884239292347e-21,"NMF_2","30846","EHD2"
"23213",1.07144414765129e-24,0.547690721623936,1,1,5.35722073825646e-21,"NMF_2","23213","SULF1"
"2162",2.0763476219408e-24,0.338257879872653,1,1,1.0381738109704e-20,"NMF_2","2162","F13A1"
"148113",2.50651240433393e-24,0.270179102133895,1,1,1.25325620216697e-20,"NMF_2","148113","CILP2"
"56944",4.34631457490192e-23,0.298282127796886,1,1,2.17315728745096e-19,"NMF_2","56944","OLFML3"
"3487.1",4.98529142937792e-23,0.379346718933493,1,1,2.49264571468896e-19,"NMF_2","3487","IGFBP4"
"1311.1",9.98268872484427e-23,0.448853715816809,1,0.996,4.99134436242213e-19,"NMF_2","1311","COMP"
"54587.1",1.75736694486856e-22,0.422520351335832,1,1,8.7868347243428e-19,"NMF_2","54587","MXRA8"
"3671",2.49136099352269e-22,0.420116017355995,1,1,1.24568049676134e-18,"NMF_2","3671","ISLR"
"64094",3.01528417180643e-22,0.264097392813102,1,1,1.50764208590321e-18,"NMF_2","64094","SMOC2"
"83483",7.20390871105442e-22,0.260932526621366,1,1,3.60195435552721e-18,"NMF_2","83483","PLVAP"
"1490",8.9949975403337e-22,0.461011497454567,1,1,4.49749877016685e-18,"NMF_2","1490","CCN2"
"8483",1.05043711079482e-21,0.2754069703889,1,1,5.2521855539741e-18,"NMF_2","8483","CILP"
"10457",1.21290893406058e-21,0.402113388548483,1,1,6.06454467030289e-18,"NMF_2","10457","GPNMB"
"3491",1.31044891361684e-21,0.448354820300644,1,1,6.55224456808422e-18,"NMF_2","3491","CCN1"
"55959",2.7688921135088e-21,0.307815168379537,1,1,1.3844460567544e-17,"NMF_2","55959","SULF2"
